2 76
557060 16
622597 18
688147 11
917528 93
688154 21
426016 26
491554 29
622630 15
753704 37
917545 76
524330 70
453298 78
950321 76
832534 16
98365 11
545567 30
524355 87
852040 86
917585 35
229464 91
622688 63
884833 97
163938 80
458853 12
950376 8
917612 72
688237 13
917615 96
721010 41
393331 73
163957 71
491639 93
327801 98
655483 30
251242 40
753791 84
32896 80
65669 1
393350 42
721039 24
24 39
655506 28
65687 85
458904 85
917659 91
415088 62
262310 71
360618 78
655539 98
731849 90
786617 48
295098 91
43722 78
721086 41
546165 58
360645 33
917703 84
983240 61
491726 25
458961 78
590038 2
721111 75
688346 99
360670 96
295140 3
65574 33
458982 11
731858 20
589864 37
371412 85
33020 42
655614 0
295168 5
98561 89
666326 49
688390 88
131341 26
689603 3
393488 61
712517 10
622871 43
885018 61
196892 92
426269 86
491806 6
229665 44
360743 36
98601 19
103816 39
98612 38
33078 94
491832 21
426299 12
753993 51
950605 51
786766 27
590160 59
262481 89
917846 35
295256 74
312718 51
759184 69
262510 47
393584 50
328055 98
688507 32
557440 81
852356 28
197000 94
328073 49
197002 43
65937 19
950675 66
223983 26
754076 53
885149 10
328098 48
950693 52
426406 18
262567 15
295337 16
754095 13
852401 42
10995 61
721333 40
426422 92
393662 39
557503 95
688578 75
262598 32
251297 29
623050 55
393676 67
98766 8
262608 69
655827 62
409678 49
655832 69
852442 20
917986 0
524775 45
819688 31
492 70
655853 3
623089 5
229875 38
426485 67
655868 44
492032 80
950786 96
295427 94
262663 83
557576 39
426507 61
983568 92
82008 92
262674 49
688662 69
764676 43
492066 47
164389 73
426535 17
557609 88
852526 19
387848 40
295476 16
328248 73
570 3
262715 82
426557 56
98882 15
623171 12
131654 19
819297 44
328264 23
33356 94
852560 99
819793 42
459349 29
688726 66
197209 34
66139 22
623201 41
426594 19
392827 69
229994 76
950898 30
262773 46
754299 70
459389 57
76565 53
852618 29
721547 28
754316 71
98957 82
524943 86
950930 98
819860 66
180334 12
557720 81
295577 39
295579 8
66208 69
